ID,Name,Platform,Year_of_Release,Genre,Publisher,Developer,Rating
399594942,7 Roses: A Darkness Rises,PC,2015,Misc,Avanquest Software,,
563907970,Nil Admirari no Tenbin: Teito Genwaku Toukidan,PSV,2016,Adventure,Idea Factory,,
266063513,Broken Sword: The Sleeping Dragon,XB,2003,Adventure,THQ,Revolution Software,T
230426529,Reversal Challenge,DS,2009,Misc,Tommo,UFO Interactive,E
177471678,Darksiders,PS3,2010,Action,THQ,Vigil Games,M
265761310,Tycoon City: New York,PC,2006,Strategy,Atari,Deep Red,T
597444740,Miyako,PSP,2010,Adventure,Idea Factory,,
281213798,Motto NUGA-CEL!,PSP,2010,Adventure,Idea Factory,,
580469776,NHL 09,PC,2008,Sports,Electronic Arts,EA Canada,E10+
334355561,Yu-Gi-Oh! GX: The Beginning of Destiny (JP sales),PS2,2007,Strategy,Konami Digital Entertainment,,
